Nombre Categoría Serie;Nombre Categoría Subserie;Nombre del Activo;Idioma;Medio de Conservación y/o Soporte;Fecha de Generación Información;Nombre de Responsable Activo Generación;Nombre de Responsable Activo Información;Clasificación;Objetivo legítimo de la excepción;Fundamento constitucional o legal;Fundamento Jurídico de la Excepción;Excepción total o parcial;Fecha de la Calificación;Plazo de Clasificación o Reserva
Entrega de Cheques;No Aplica;Entrega De Cheques;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Ley Estatutaria 1581 de 2012 “por la cual se dictan disposiciones generales para la protección de datos personales”, artículo 5º define los datos sensibles;"“Artículo  5°. Datos sensibles. Para los propósitos de la presente ley, se entiende por datos sensibles aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación, tales como aquellos que revelen el origen racial o étnico, la orientación política, las convicciones religiosas o filosóficas, la pertenencia a sindicatos, organizaciones sociales, de derechos humanos o que promueva intereses de cualquier partido político o que garanticen los derechos y garantías de partidos políticos de oposición así como los datos relativos a la salud, a la vida sexual y los datos biométricos.”
 
Esta definición fue considerada compatible con el texto constitucional (Sentencia C-748 de 2011), siempre y cuando no se entendiera como una lista taxativa sino meramente enunciativa de datos sensibles, “pues los datos que pertenecen a la esfera íntima son determinados por los cambios y el desarrollo histórico”.
 
Del mismo modo, la Ley 1581 de 2012 al amparo del principio de confidencialidad establece que: “Todas las personas que intervengan en el Tratamiento de datos personales que no tengan la naturaleza de públicos están obligadas a garantizar la reserva de la información, inclusive después de finalizada su relación con alguna de las labores que comprende el Tratamiento, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas en la presente ley y en los términos de la misma.""";La excepción aplica sólo a los datos personales;2/9/2015;2/9/2025
Declaraciones Tributarias;Declaraciones Tributarias Nacionales y Distritales;Declaraciones Tributarias Nacionales y Distritales;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Informes;Informes Datos Exógenas;Informes Datos Exógenas;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;Art. 693. Reserva de los expedientes. Las informaciones tributarias respecto de la determinación oficial del impuesto tendrán el carácter de reservadas en los términos señalados en el artículo 583;Parcial- Aplica a la Información Tributaria;2/9/2015;2/9/2025
Pagos;Pagos SAP;Pagos SAP;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Ley Estatutaria 1581 de 2012 “por la cual se dictan disposiciones generales para la protección de datos personales”, artículo 5º define los datos sensibles;"“Artículo  5°. Datos sensibles. Para los propósitos de la presente ley, se entiende por datos sensibles aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación, tales como aquellos que revelen el origen racial o étnico, la orientación política, las convicciones religiosas o filosóficas, la pertenencia a sindicatos, organizaciones sociales, de derechos humanos o que promueva intereses de cualquier partido político o que garanticen los derechos y garantías de partidos políticos de oposición así como los datos relativos a la salud, a la vida sexual y los datos biométricos.”
 
Esta definición fue considerada compatible con el texto constitucional (Sentencia C-748 de 2011), siempre y cuando no se entendiera como una lista taxativa sino meramente enunciativa de datos sensibles, “pues los datos que pertenecen a la esfera íntima son determinados por los cambios y el desarrollo histórico”.
 
Del mismo modo, la Ley 1581 de 2012 al amparo del principio de confidencialidad establece que: “Todas las personas que intervengan en el Tratamiento de datos personales que no tengan la naturaleza de públicos están obligadas a garantizar la reserva de la información, inclusive después de finalizada su relación con alguna de las labores que comprende el Tratamiento, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas en la presente ley y en los términos de la misma.""";No Aplica;2/9/2015;2/9/2025
Pagos;Pagos de Nómina Administración Central;Pagos de Nómina Administración Central;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Ley Estatutaria 1581 de 2012 “por la cual se dictan disposiciones generales para la protección de datos personales”, artículo 5º define los datos sensibles;"“Artículo  5°. Datos sensibles. Para los propósitos de la presente ley, se entiende por datos sensibles aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación, tales como aquellos que revelen el origen racial o étnico, la orientación política, las convicciones religiosas o filosóficas, la pertenencia a sindicatos, organizaciones sociales, de derechos humanos o que promueva intereses de cualquier partido político o que garanticen los derechos y garantías de partidos políticos de oposición así como los datos relativos a la salud, a la vida sexual y los datos biométricos.”
 
Esta definición fue considerada compatible con el texto constitucional (Sentencia C-748 de 2011), siempre y cuando no se entendiera como una lista taxativa sino meramente enunciativa de datos sensibles, “pues los datos que pertenecen a la esfera íntima son determinados por los cambios y el desarrollo histórico”.
 
Del mismo modo, la Ley 1581 de 2012 al amparo del principio de confidencialidad establece que: “Todas las personas que intervengan en el Tratamiento de datos personales que no tengan la naturaleza de públicos están obligadas a garantizar la reserva de la información, inclusive después de finalizada su relación con alguna de las labores que comprende el Tratamiento, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas en la presente ley y en los términos de la misma.""";No Aplica;2/9/2015;2/9/2025
Operaciones de inversiones permanentes;No Aplica;Operaciones de Inversiones Permanentes;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;No Aplica;2/9/2015;2/9/2025
Operaciones de inversiones en moneda extranjera;No Aplica;Operaciones de Inversiones en Moneda Extranjera;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;No Aplica;2/9/2015;2/9/2025
Operaciones de inversiones en moneda legal;No Aplica;Operaciones de Inversiones en Moneda Legal;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Ley 1712;Artículo  19. Información exceptuada por daño a los intereses públicos.;No Aplica;2/9/2015;2/9/2025
Auditorias;Auditorias de otras entidades;Auditorias de Otras Entidades;Español;Físico - Papel;2/9/2015;"Oficina De Gestión de Pagos

Responsable del proceso";Oficina de Gestión de pagos;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Ley Estatutaria 1581 de 2012 “por la cual se dictan disposiciones generales para la protección de datos personales”, artículo 5º define los datos sensibles;"“Artículo  5°. Datos sensibles. Para los propósitos de la presente ley, se entiende por datos sensibles aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación, tales como aquellos que revelen el origen racial o étnico, la orientación política, las convicciones religiosas o filosóficas, la pertenencia a sindicatos, organizaciones sociales, de derechos humanos o que promueva intereses de cualquier partido político o que garanticen los derechos y garantías de partidos políticos de oposición así como los datos relativos a la salud, a la vida sexual y los datos biométricos.”
 
Esta definición fue considerada compatible con el texto constitucional (Sentencia C-748 de 2011), siempre y cuando no se entendiera como una lista taxativa sino meramente enunciativa de datos sensibles, “pues los datos que pertenecen a la esfera íntima son determinados por los cambios y el desarrollo histórico”.
 
Del mismo modo, la Ley 1581 de 2012 al amparo del principio de confidencialidad establece que: “Todas las personas que intervengan en el Tratamiento de datos personales que no tengan la naturaleza de públicos están obligadas a garantizar la reserva de la información, inclusive después de finalizada su relación con alguna de las labores que comprende el Tratamiento, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas en la presente ley y en los términos de la misma.""";Parcial - Aplica para los datos personales ;2/9/2015;2/9/2025
Proceso de cobro coactivo;No Aplica;Procesos de Cobro Coactivo;Español;Físico - Papel;2/9/2015;"Oficina de Ejecuciones Fiscales

Responsable del proceso.";Oficina de Ejecuciones Fiscales;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;" Artículo 849-4. “Reserva del expediente en la etapa de cobro. 

Los expedientes de las oficinas de cobranzas sólo podrán ser examinados por el contribuyente o su apoderado legalmente constituido, o abogados autorizados mediante memorial presentado personalmente por el contribuyente. ";No Aplica;2/9/2015;2/9/2025
Devoluciones de solicitudes de cobro;No Aplica;Devoluciones de Solicitudes de Cobro;Español;Físico - Papel;2/9/2015;"Oficina de Ejecuciones Fiscales

Responsable del proceso.";Oficina de Ejecuciones Fiscales;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;"Artículo 849-4. “Reserva del expediente en la etapa de cobro. 

Los expedientes de las oficinas de cobranzas sólo podrán ser examinados por el contribuyente o su apoderado legalmente constituido, o abogados autorizados mediante memorial presentado personalmente por el contribuyente. 

Los títulos ejecutivos deben gozar de dos tipos de condiciones: formales y sustanciales. Las primeras exigen que el documento o conjunto de documentos que dan cuenta de la existencia de la obligación “(i) sean auténticos y (ii) emanen del deudor o de su causante, de una sentencia de condena proferida por el juez o tribunal de cualquier jurisdicción, o de otra providencia judicial que tenga fuerza ejecutiva conforme a la ley, o de las providencias que en procesos contencioso administrativos o de policía aprueben liquidación de costas o señalen honorarios de auxiliares de la justicia, o de un acto administrativo en firme";No Aplica;2/9/2015;2/9/2025
Título de Depósito Judicial;No Aplica;Título de Depósito Judicial;Español;Físico - Papel;2/9/2015;"Oficina de Ejecuciones Fiscales

Responsable del proceso.";Oficina de Ejecuciones Fiscales;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Estatuto Tributario Nacional;"Artículo 849-4. “Reserva del expediente en la etapa de cobro. 

Los expedientes de las oficinas de cobranzas sólo podrán ser examinados por el contribuyente o su apoderado legalmente constituido, o abogados autorizados mediante memorial presentado personalmente por el contribuyente. ";No Aplica;2/9/2015;2/9/2025
Historias Laborales ;No Aplica;Historias Laborales ;Español;Físico - Papel;2/9/2015;Subdirección de Talento humano Responsable del proceso;Subdirección de Talento Humano;Pública Reservada;"Activo de Información que por su contenido o por su naturaleza íntima o reservada sólo es relevante para el titular, sólo interesa a quienes va dirigida y cuya divulgación no autorizada puede ocasionar perjuicios a determinada entidad, agrupación o persona. Información cuyo acceso podrá ser rechazado o denegado de manera motivada y por escrito en las siguientes circunstancias, siempre que dicho acceso estuviere expresamente prohibido por una norma legal o constitucional:
a) La defensa y seguridad nacional
b) La seguridad pública
c) Las relaciones internacionales
d) La prevención, investigación y persecución de los delitos y las faltas disciplinarias, mientras que no se haga efectiva la medida de aseguramiento o se formule pliego de cargos, según el caso
e) El debido proceso y la igualdad de las partes en los procesos judiciales
f) La administración efectiva de la justicia
g) Los derechos de la infancia y la adolescencia
h) La estabilidad macroeconómica y financiera del país
i) La salud pública
No obstante, entiéndase también que datos reservados, son aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación. Del mismo modo, en cumplimiento de la Ley 1581 de 2012 al amparo del principio de confidencialidad se establece que: los datos personales que no tengan la naturaleza de públicos se les debe garantizar la reserva de la información, inclusive después de finalizada la relación con alguna de las labores que comprende el tratamiento de información, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas por la Ley y en los términos de la misma.";Ley Estatutaria 1581 de 2012 “por la cual se dictan disposiciones generales para la protección de datos personales”, artículo 5º define los datos sensibles;"“Artículo  5°. Datos sensibles. Para los propósitos de la presente ley, se entiende por datos sensibles aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación, tales como aquellos que revelen el origen racial o étnico, la orientación política, las convicciones religiosas o filosóficas, la pertenencia a sindicatos, organizaciones sociales, de derechos humanos o que promueva intereses de cualquier partido político o que garanticen los derechos y garantías de partidos políticos de oposición así como los datos relativos a la salud, a la vida sexual y los datos biométricos.”
 
Esta definición fue considerada compatible con el texto constitucional (Sentencia C-748 de 2011), siempre y cuando no se entendiera como una lista taxativa sino meramente enunciativa de datos sensibles, “pues los datos que pertenecen a la esfera íntima son determinados por los cambios y el desarrollo histórico”.
 
Del mismo modo, la Ley 1581 de 2012 al amparo del principio de confidencialidad establece que: “Todas las personas que intervengan en el Tratamiento de datos personales que no tengan la naturaleza de públicos están obligadas a garantizar la reserva de la información, inclusive después de finalizada su relación con alguna de las labores que comprende el Tratamiento, pudiendo sólo realizar suministro o comunicación de datos personales cuando ello corresponda al desarrollo de las actividades autorizadas en la presente ley y en los términos de la misma.""";La excepción aplica sólo a los datos referentes a información sensible, datos personales y por reserva legal, datos médicos;2/9/2015;2/9/2025
